grupo;amotra;repeticao;absorbancia
1;A1;1;0,545
1;A1;2;0,5
1;A1;3;0,545
1;A2;4;0,589
1;A2;5;0,6
1;A2;6;0,58
1;A3;7;0,52
1;A3;8;0,532
1;A3;9;0,587
1;B1;1;0,78
1;B1;2;0,79
1;B1;3;0,76
1;B2;4;0,78
1;B2;5;0,775
1;B2;6;0,746
1;B3;7;0,789
1;B3;8;0,763
1;B3;9;0,71
1;C1;1;0,521
1;C1;2;0,458
1;C1;3;0,469
1;C2;4;0,48
1;C2;5;0,5
1;C2;6;0,49
1;C3;7;0,487
1;C3;8;0,46
1;C3;9;0,46
1;D1;1;0,76
1;D1;2;0,75
1;D1;3;0,746
1;D2;4;0,732
1;D2;5;0,741
1;D2;6;0,722
1;D3;7;0,725
1;D3;8;0,723
1;D3;9;0,736
2;E1;1;0,086
2;E1;2;0,085
2;E1;3;0,08
2;E2;4;0,07
2;E2;5;0,086
2;E2;6;0,078
2;E3;7;0,072
2;E3;8;0,074
2;E3;9;0,089
