amostra;repeticao;tipo;icumsa
1;1;Convencional;80
1;2;Convencional;86
1;3;Convencional;84
2;1;Convencional;50
2;2;Convencional;52
2;3;Convencional;56
3;1;Convencional;62
3;2;Convencional;70
3;3;Convencional;65
4;1;Convencional;90
4;2;Convencional;92
4;3;Convencional;96
5;1;Convencional;104
5;2;Convencional;110
5;3;Convencional;107
6;1;Convencional;78
6;2;Convencional;74
6;3;Convencional;72
7;1;Orgânico;110
7;2;Orgânico;115
7;3;Orgânico;116
8;1;Orgânico;90
8;2;Orgânico;92
8;3;Orgânico;94
9;1;Orgânico;81
9;2;Orgânico;88
9;3;Orgânico;84
